5/8/2019 5:11:42 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
TaskNumber	StartTime	UIComponentInteractionTime	UIComponentExitTime	HornTime	
4	9.651803	10.38759	0	11.6962	
4	24.14684	24.60447	24.61503	25.36238	
4	38.89745	39.23532	39.3372	39.78159	
4	53.77405	54.11078	54.24463	54.88254	
4	68.83905	69.59948	0	70.37183	
4	89.81091	90.48404	0	91.05451	
4	98.67144	99.25631	0	100.461	
4	113.242	113.8488	0	114.4112	
4	128.7919	129.3096	0	129.9784	
4	143.7141	144.1856	0	144.7457	
4	158.5576	159.0539	0	159.5657	
4	173.32	173.8819	0	174.2982	
4	188.6784	189.0614	0	189.5192	
4	203.9563	204.2465	204.3474	204.8667	
4	218.8561	219.34	219.4072	219.9192	
4	233.7545	234.2938	0	234.8515	
4	248.787	249.1781	0	249.628	
4	263.9332	264.2148	264.2707	264.717	
4	278.9438	279.484	0	279.9742	
4	308.9447	309.451	0	310.2218	
4	323.8651	324.2233	0	324.6808	
4	339.2909	339.5255	339.6006	340.1036	
4	354.0182	354.4012	354.5351	355.0233	
4	368.5551	369.0384	0	369.7453	
4	384.0164	384.3657	384.4779	384.9688	
4	398.925	399.4982	0	400.098	
4	429.0035	429.4531	429.5892	430.1431	
4	443.913	444.2825	444.3822	444.8513	
4	459.1597	459.4834	459.5736	460.0568	
4	474.1371	474.7112	0	475.4133	
4	489.025	489.404	489.5409	489.9862	
4	519.2029	519.7066	0	520.1876	
4	534.2458	534.5844	534.7292	535.1526	
4	549.269	549.6189	549.7304	550.1866	
4	564.4008	564.7359	564.8362	565.3975	
4	579.3651	579.7593	579.8375	580.8986	
4	595.37	596.188	0	596.7802	
4	624.299	624.8605	0	626.2454	
4	0	0	0	626.4356	
4	639.3312	639.894	0	640.6315	
4	654.3958	654.7346	654.8349	655.4036	
