4/15/2019 6:19:51 PM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
3659	42029.12	0	0	0	0	6.811882	10.21247	-6.637535	6.931218	9.702371	-6.321198	12.40088	8.409679	4.75	
3660	42041.66	0	0	0	0	6.811858	10.21246	-6.63751	6.931229	9.702414	-6.321342	12.40105	8.409722	4.75	
3661	42050.36	0	0	0	0	6.811884	10.21237	-6.637617	6.931217	9.702412	-6.321284	12.3942	8.247859	4.75	
3662	42060.39	0	0	0	0	6.811891	10.21236	-6.637619	6.931203	9.702427	-6.321229	12.39416	8.247915	4.75	
3663	42071.7	0	0	0	0	6.811888	10.21236	-6.637624	6.93122	9.702464	-6.321106	12.39417	8.247904	4.75	
3664	42083.23	0	0	0	0	6.811909	10.21227	-6.637645	6.931334	9.702591	-6.32147	12.38929	8.310916	4.75	
3665	42093.75	0	0	0	0	6.811862	10.21225	-6.637627	6.93133	9.702617	-6.321427	12.38958	8.311028	4.750001	
3666	42106.02	0	0	0	0	6.811859	10.21219	-6.637629	6.93123	9.702684	-6.321286	12.35741	8.307464	4.75	
3667	42117.51	0	0	0	0	6.811855	10.21224	-6.637524	6.931325	9.702538	-6.321457	12.35774	8.307055	4.75	
3668	42127.71	0	0	0	0	6.811857	10.21221	-6.637524	6.931318	9.702547	-6.321414	12.37832	8.31368	4.75	
3669	42138.77	0	0	0	0	6.81186	10.21216	-6.6375	6.931298	9.702611	-6.321276	12.37836	8.313866	4.75	
3670	42149.76	0	0	0	0	6.811863	10.21217	-6.637496	6.931393	9.702439	-6.321422	12.37835	8.313835	4.75	
3671	42160.92	0	0	0	0	6.811874	10.21212	-6.637493	6.931392	9.702437	-6.321358	12.33993	8.30485	4.75	
3672	42172.61	0	0	0	0	6.811865	10.21209	-6.637467	6.931325	9.702497	-6.321202	12.34005	8.305041	4.750001	
3673	42183.8	0	0	0	0	6.811846	10.212	-6.637455	6.931427	9.702461	-6.321459	12.40373	8.268298	4.749999	
3674	42194.66	0	0	0	0	6.811893	10.2119	-6.637429	6.931437	9.70248	-6.3214	12.40361	8.268623	4.75	
3675	42213.32	0	0	0	0	6.811902	10.21179	-6.637362	6.93137	9.702285	-6.321364	12.4037	8.268994	4.750001	
3676	42222.1	0	0	0	0	6.811867	10.21167	-6.637266	6.931379	9.702265	-6.32129	12.37029	8.273686	4.75	
3677	42231.27	0	0	0	0	6.811912	10.21149	-6.637189	6.931379	9.702261	-6.321231	12.35928	8.230813	4.75	
3678	42240.12	0	0	0	0	6.811873	10.21129	-6.637102	6.931341	9.702298	-6.321081	12.33493	8.242118	4.75	
3679	42250.41	0	0	0	0	6.811848	10.21109	-6.636979	6.931453	9.702397	-6.321452	12.33539	8.243065	4.75	
3680	42261.38	0	0	0	0	6.811889	10.21088	-6.636848	6.931468	9.702415	-6.321384	12.32056	8.166743	4.750001	
3681	42272.63	0	0	0	0	6.811892	10.21066	-6.636528	6.93141	9.702502	-6.321172	12.33885	8.145241	4.75	
3682	42283.93	0	0	0	0	6.811928	10.21035	-6.636358	6.931433	9.702343	-6.321288	12.33907	8.146517	4.75	
3683	42294.8	0	0	0	0	6.811983	10.21008	-6.636173	6.931448	9.702362	-6.321209	12.32165	8.146361	4.75	
3684	42306.59	0	0	0	0	6.812026	10.20979	-6.636046	6.931361	9.70243	-6.321057	12.32174	8.147639	4.75	
