3/18/2019 2:33:52 AM	The file contains frame by frame data of location for 2 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	StartTime	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
1155	7716.996	3.277616	8.807838	-6.580389	3.326307	8.805882	-6.21172	
1156	7723.491	3.27762	8.80784	-6.580388	3.326304	8.805883	-6.211739	
1157	7729.073	3.277623	8.807847	-6.580385	3.326306	8.805883	-6.211768	
1158	7734.077	3.277629	8.807846	-6.580382	3.326311	8.805882	-6.211783	
1159	7741.474	3.277637	8.807852	-6.580378	3.326315	8.805882	-6.211794	
1160	7747.981	3.277644	8.80785	-6.580377	3.326325	8.80588	-6.211816	
1161	7754.595	3.277649	8.807858	-6.580375	3.326335	8.805879	-6.211833	
1162	7761.009	3.277649	8.807857	-6.580368	3.326345	8.805877	-6.211849	
1163	7767.525	3.277654	8.807861	-6.580363	3.326354	8.805875	-6.211862	
1164	7774.092	3.277591	8.807911	-6.580213	3.32636	8.805874	-6.211872	
1165	7780.546	3.277493	8.807994	-6.579989	3.326365	8.805873	-6.211881	
1166	7787.537	3.277397	8.808075	-6.579764	3.32637	8.805872	-6.21189	
1167	7793.59	3.277364	8.808102	-6.579691	3.326371	8.805872	-6.2119	
1168	7800.086	3.277381	8.808085	-6.579697	3.326371	8.805873	-6.211913	
1169	7806.553	3.277387	8.808084	-6.579695	3.326368	8.805874	-6.211928	
1170	7812.534	3.277394	8.80809	-6.579691	3.326362	8.805875	-6.211945	
1171	7818.857	3.277408	8.808083	-6.579707	3.326354	8.805878	-6.211961	
1172	7825.303	3.27742	8.808065	-6.579719	3.326338	8.805881	-6.211981	
1173	7832.156	3.277438	8.808044	-6.579742	3.32632	8.805885	-6.212002	
1174	7838.722	3.277449	8.808033	-6.579754	3.326301	8.80589	-6.212024	
1175	7844.814	3.277459	8.808027	-6.579768	3.326283	8.805895	-6.212049	
1176	7851.2	3.277468	8.80802	-6.57978	3.326268	8.805899	-6.212079	
1177	7857.815	3.277478	8.808003	-6.579798	3.326259	8.805902	-6.212107	
1178	7863.739	3.277483	8.807994	-6.579809	3.326253	8.805904	-6.212141	
1179	7870.286	3.277486	8.807994	-6.579821	3.326251	8.805906	-6.212173	
1180	7876.479	3.277488	8.807989	-6.579837	3.32625	8.805907	-6.212202	
1181	7882.288	3.277491	8.807982	-6.579851	3.326249	8.805909	-6.212229	
1182	7888.326	3.277491	8.807973	-6.579865	3.326247	8.80591	-6.212254	
1183	7894.882	3.277494	8.807971	-6.579881	3.326246	8.805912	-6.212275	
1184	7901.353	3.277501	8.807965	-6.579895	3.326246	8.805913	-6.212294	
1185	7907.914	3.2775	8.807967	-6.579904	3.326245	8.805914	-6.212309	
1186	7914.334	3.277507	8.807969	-6.579916	3.326244	8.805915	-6.212322	
1187	7920.419	3.277513	8.807969	-6.579927	3.326242	8.805916	-6.212331	
1188	7927.006	3.277521	8.807969	-6.579937	3.326239	8.805917	-6.212337	
1189	7933.428	3.277531	8.80797	-6.579951	3.326236	8.805918	-6.21234	
1190	7939.442	3.277539	8.807963	-6.579963	3.326232	8.805918	-6.212341	
1191	7945.954	3.277553	8.807955	-6.579985	3.326229	8.805919	-6.212339	
1192	7952.486	3.277558	8.807954	-6.579997	3.326227	8.805919	-6.212337	
1193	7958.639	3.277566	8.80795	-6.58001	3.326226	8.805919	-6.212335	
