3/18/2019 2:06:34 AM	The file contains frame by frame data of location for 2 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	StartTime	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
60	604.965	3.264249	8.805068	-6.543763	3.323847	8.806664	-6.212603	
61	609.5958	3.264249	8.805064	-6.543761	3.323847	8.806664	-6.212603	
62	616.646	3.264249	8.805064	-6.543761	3.323847	8.806664	-6.212603	
63	622.6725	3.264249	8.805064	-6.543761	3.323847	8.806664	-6.212603	
64	629.1596	3.264249	8.805064	-6.543761	3.323847	8.806664	-6.212603	
65	635.666	3.264249	8.805065	-6.543761	3.323847	8.806664	-6.212603	
66	641.6423	3.264249	8.805065	-6.543761	3.323847	8.806664	-6.212603	
67	648.601	3.264249	8.805065	-6.543761	3.323847	8.806664	-6.212603	
68	655.8888	3.26425	8.805068	-6.543763	3.323847	8.806664	-6.212603	
69	662.2846	3.26425	8.805068	-6.543763	3.323847	8.806664	-6.212603	
70	668.8255	3.26425	8.805068	-6.543763	3.323847	8.806664	-6.212603	
71	674.8063	3.26425	8.805067	-6.543763	3.323847	8.806664	-6.212603	
72	680.8845	3.26425	8.805067	-6.543763	3.323847	8.806664	-6.212603	
73	688.4248	3.26425	8.805067	-6.543763	3.323847	8.806664	-6.212603	
74	695.0313	3.264251	8.805063	-6.543761	3.323847	8.806664	-6.212603	
75	702.6154	3.264251	8.805063	-6.543761	3.323847	8.806664	-6.212603	
76	709.9357	3.264251	8.805063	-6.543761	3.323847	8.806664	-6.212603	
77	716.9084	3.264251	8.805063	-6.543761	3.323847	8.806664	-6.212603	
78	723.4481	3.264251	8.805063	-6.543761	3.323847	8.806664	-6.212603	
79	729.8797	3.264251	8.805063	-6.543761	3.323847	8.806664	-6.212603	
80	735.9561	3.264252	8.805066	-6.543763	3.323847	8.806664	-6.212603	
81	741.9655	3.264252	8.805066	-6.543763	3.323847	8.806664	-6.212603	
82	748.4402	3.264252	8.805066	-6.543763	3.323847	8.806664	-6.212603	
83	754.9502	3.264253	8.805068	-6.543765	3.323847	8.806664	-6.212603	
84	761.4491	3.264253	8.805068	-6.543765	3.323847	8.806664	-6.212603	
85	767.9623	3.264253	8.805068	-6.543765	3.323847	8.806664	-6.212603	
86	773.9486	3.264252	8.805069	-6.543765	3.323847	8.806664	-6.212603	
87	780.4225	3.264252	8.805069	-6.543765	3.323847	8.806664	-6.212603	
88	786.5109	3.264252	8.805069	-6.543765	3.323847	8.806664	-6.212603	
89	793.6137	3.264249	8.805068	-6.543763	3.323847	8.806664	-6.212603	
90	800.0984	3.264249	8.805068	-6.543763	3.323847	8.806664	-6.212603	
91	806.6304	3.264249	8.805068	-6.543763	3.323847	8.806664	-6.212603	
92	812.5923	3.26425	8.805064	-6.543761	3.323847	8.806664	-6.212603	
93	818.6151	3.26425	8.805064	-6.543761	3.323847	8.806664	-6.212603	
94	824.7589	3.26425	8.805064	-6.543761	3.323847	8.806664	-6.212603	
95	831.6639	3.264249	8.805062	-6.54376	3.323847	8.806664	-6.212603	
96	838.1703	3.264249	8.805062	-6.54376	3.323847	8.806664	-6.212603	
97	844.1773	3.264249	8.805062	-6.54376	3.323847	8.806664	-6.212603	
