3/22/2019 3:05:47 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
4	176.765	0	0	0	0	7.075669	8.899519	-6.466677	7.15	10.221	-6.718	
5	197.3091	0	0	0	0	7.078384	8.898704	-6.466116	7.15	10.221	-6.718	
6	215.1323	0	0	0	0	7.088479	8.896515	-6.463727	7.15	10.221	-6.718	
7	236.5041	0	0	0	0	7.096224	8.894634	-6.461825	7.15	10.221	-6.718	
8	258.2861	0	0	0	0	7.099464	8.893488	-6.461079	7.15	10.221	-6.718	
9	280.3865	0	0	0	0	7.102297	8.892498	-6.46032	7.15	10.221	-6.718	
10	303.2946	0	0	0	0	7.10325	8.892183	-6.460003	7.15	10.221	-6.718	
11	315.5898	0	0	0	0	7.104451	8.891854	-6.459683	7.15	10.221	-6.718	
12	327.9004	0	0	0	0	7.105574	8.891498	-6.459446	7.15	10.221	-6.718	
13	335.3003	0	0	0	0	7.106756	8.891237	-6.459157	7.15	10.221	-6.718	
14	345.8486	0	0	0	0	7.107738	8.890944	-6.458904	7.15	10.221	-6.718	
15	356.9068	0	0	0	0	7.108536	8.890599	-6.458757	7.15	10.221	-6.718	
16	370.8964	0	0	0	0	7.109379	8.890224	-6.458711	7.15	10.221	-6.718	
17	379.4586	0	0	0	0	7.110163	8.890004	-6.458561	7.15	10.221	-6.718	
18	390.6571	0	0	0	0	7.110751	8.889839	-6.458526	7.15	10.221	-6.718	
19	401.5422	0	0	0	0	7.110551	8.889742	-6.458652	7.15	10.221	-6.718	
20	412.7229	0	0	0	0	7.111195	8.889489	-6.458597	7.15	10.221	-6.718	
21	425.6501	0	0	0	0	7.11176	8.889242	-6.45856	7.15	10.221	-6.718	
22	435.2567	0	0	0	0	7.112293	8.889059	-6.458462	7.15	10.221	-6.718	
23	446.2139	0	0	0	0	7.112662	8.888904	-6.45846	7.15	10.221	-6.718	
24	456.9671	0	0	0	0	7.113164	8.888618	-6.458403	7.15	10.221	-6.718	
25	467.8492	0	0	0	0	7.113625	8.888335	-6.458354	7.15	10.221	-6.718	
26	478.7082	0	0	0	0	7.113942	8.888035	-6.458361	7.15	10.221	-6.718	
27	490.0377	0	0	0	0	7.114251	8.887814	-6.458322	7.15	10.221	-6.718	
28	501.902	0	0	0	0	7.114488	8.887495	-6.458325	7.15	10.221	-6.718	
29	512.1412	0	0	0	0	7.114672	8.887312	-6.458336	7.15	10.221	-6.718	
30	524.0203	0	0	0	0	7.114931	8.887131	-6.458408	7.15	10.221	-6.718	
31	533.7729	0	0	0	0	7.115138	8.886929	-6.458407	7.15	10.221	-6.718	
32	545.7225	0	0	0	0	7.115361	8.886726	-6.458384	7.15	10.221	-6.718	
33	556.4376	0	0	0	0	7.115664	8.886615	-6.45836	7.15	10.221	-6.718	
34	595.5085	0	0	0	0	7.115817	8.885942	-6.458374	7.371033	8.098446	-6.13446	
35	600.9662	0	0	0	0	7.116698	8.885844	-6.457909	7.371033	8.098446	-6.13446	
36	610.5263	0	0	0	0	7.116942	8.885687	-6.457852	7.371033	8.098446	-6.13446	
37	621.668	0	0	0	0	7.117192	8.885499	-6.457854	7.371033	8.098446	-6.13446	
38	633.0688	0	0	0	0	7.117182	8.885298	-6.457909	7.371033	8.098446	-6.13446	
39	644.123	0	0	0	0	7.117189	8.885116	-6.457986	7.370789	8.09808	-6.135559	
40	654.933	0	0	0	0	7.117406	8.884953	-6.458026	7.370911	8.09808	-6.135681	
41	666.4993	0	0	0	0	7.117564	8.884755	-6.458149	7.370422	8.09808	-6.135559	
42	677.5557	0	0	0	0	7.117664	8.884607	-6.458292	7.3703	8.097958	-6.135803	
43	688.9769	0	0	0	0	7.11777	8.884465	-6.458488	7.370056	8.097958	-6.135925	
44	700.1216	0	0	0	0	7.117888	8.884224	-6.458699	7.369934	8.097836	-6.136047	
45	711.1789	0	0	0	0	7.117981	8.884064	-6.458926	7.36969	8.097836	-6.136292	
46	722.0859	0	0	0	0	7.118001	8.883888	-6.459175	7.369446	8.097836	-6.136414	
47	733.6907	0	0	0	0	7.118128	8.88373	-6.459511	7.369202	8.097836	-6.136536	
48	744.4451	0	0	0	0	7.118291	8.883512	-6.459833	7.368958	8.097713	-6.136658	
49	755.551	0	0	0	0	7.118305	8.883322	-6.460053	7.368591	8.097713	-6.136658	
50	766.6516	0	0	0	0	7.118447	8.883121	-6.460407	7.368469	8.097836	-6.136047	
51	777.7145	0	0	0	0	7.118776	8.882857	-6.460913	7.368347	8.097836	-6.135803	
52	788.6862	0	0	0	0	7.118925	8.882655	-6.461243	7.368469	8.097836	-6.136292	
53	800.0371	0	0	0	0	7.119038	8.88231	-6.461649	7.368469	8.097836	-6.135925	
54	811.223	0	0	0	0	7.119256	8.881907	-6.462235	7.368469	8.097836	-6.135803	
55	822.4205	0	0	0	0	7.119483	8.881324	-6.463109	7.368469	8.097836	-6.136047	
56	833.5475	0	0	0	0	7.11979	8.880666	-6.464021	7.368591	8.097836	-6.136047	
57	844.8026	0	0	0	0	7.120057	8.879976	-6.464975	7.368347	8.097836	-6.136169	
58	856.1801	0	0	0	0	7.120406	8.878964	-6.466136	7.368103	8.097836	-6.136169	
59	866.4075	0	0	0	0	7.120697	8.877904	-6.467499	7.367981	8.097836	-6.136292	
60	877.5594	0	0	0	0	7.121123	8.876764	-6.46917	7.367859	8.097836	-6.136414	
61	888.6588	0	0	0	0	7.121569	8.875277	-6.471172	7.367737	8.097836	-6.136536	
62	899.8561	0	0	0	0	7.122048	8.873597	-6.473299	7.367981	8.097836	-6.136292	
63	910.9984	0	0	0	0	7.122482	8.871839	-6.475492	7.368347	8.097713	-6.13678	
64	922.2387	0	0	0	0	7.123054	8.869615	-6.478127	7.368958	8.097713	-6.136902	
65	933.1638	0	0	0	0	7.123646	8.867448	-6.480893	7.369568	8.097713	-6.137024	
66	944.3695	0	0	0	0	7.124274	8.865308	-6.484025	7.369446	8.097713	-6.137146	
67	955.5836	0	0	0	0	7.124791	8.863415	-6.487113	7.369324	8.097713	-6.137146	
68	966.5516	0	0	0	0	7.125583	8.862102	-6.489898	7.368958	8.097713	-6.137024	
69	977.9028	0	0	0	0	7.126185	8.861547	-6.492203	7.368591	8.097713	-6.136902	
70	989.0109	0	0	0	0	7.126534	8.861108	-6.494258	7.368225	8.097713	-6.136902	
71	1000.497	0	0	0	0	7.126386	8.861181	-6.495802	7.367371	8.097836	-6.137024	
72	1011.648	0	0	0	0	7.12606	8.861388	-6.497358	7.366272	8.097958	-6.136902	
73	1022.319	0	0	0	0	7.125482	8.861896	-6.49868	7.36554	8.09808	-6.137146	
74	1033.416	0	0	0	0	7.124568	8.862987	-6.499547	7.364929	8.098202	-6.137146	
75	1044.978	0	0	0	0	7.123549	8.864151	-6.500282	7.364563	8.098324	-6.136902	
76	1055.697	0	0	0	0	7.122502	8.86509	-6.50124	7.364075	8.098446	-6.13678	
77	1067.352	0	0	0	0	7.121323	8.866204	-6.502162	7.363708	8.09869	-6.136902	
78	1078.8	0	0	0	0	7.120056	8.867175	-6.502968	7.362976	8.098934	-6.136902	
79	1089.6	0	0	0	0	7.118863	8.867996	-6.503863	7.362244	8.0993	-6.13678	
80	1100.626	0	0	0	0	7.117639	8.868943	-6.50486	7.361267	8.099789	-6.136536	
81	1111.783	0	0	0	0	7.116337	8.869965	-6.506024	7.360291	8.100521	-6.136414	
82	1123.055	0	0	0	0	7.11498	8.87101	-6.507285	7.359192	8.101498	-6.136047	
83	1134.59	0	0	0	0	7.113711	8.872085	-6.508624	7.358215	8.102596	-6.135803	
84	1145.438	0	0	0	0	7.112353	8.873313	-6.510133	7.357361	8.103695	-6.135559	
