3/22/2019 2:59:56 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
4	180.3436	0	0	0	0	7.188848	8.883721	-6.545802	7.15	10.221	-6.718	
5	195.2974	0	0	0	0	7.19068	8.883397	-6.545579	7.15	10.221	-6.718	
6	226.7536	0	0	0	0	7.203984	8.881765	-6.543846	7.15	10.221	-6.718	
7	256.9177	0	0	0	0	7.206196	8.88171	-6.544302	7.15	10.221	-6.718	
8	273.299	0	0	0	0	7.20857	8.881841	-6.544587	7.15	10.221	-6.718	
9	296.94	0	0	0	0	7.210383	8.882239	-6.545204	7.15	10.221	-6.718	
10	319.745	0	0	0	0	7.211345	8.882738	-6.545708	7.15	10.221	-6.718	
11	333.0822	0	0	0	0	7.212569	8.88315	-6.546041	7.15	10.221	-6.718	
12	352.7513	0	0	0	0	7.213169	8.883576	-6.546443	7.15	10.221	-6.718	
13	364.2112	0	0	0	0	7.213798	8.883854	-6.546769	7.15	10.221	-6.718	
14	377.6083	0	0	0	0	7.214326	8.884046	-6.547163	7.15	10.221	-6.718	
15	387.7927	0	0	0	0	7.214986	8.884322	-6.547557	7.15	10.221	-6.718	
16	404.4339	0	0	0	0	7.215388	8.884507	-6.548028	7.15	10.221	-6.718	
17	409.8967	0	0	0	0	7.215977	8.884763	-6.548362	7.15	10.221	-6.718	
18	420.5998	0	0	0	0	7.216435	8.885128	-6.548792	7.15	10.221	-6.718	
19	431.4759	0	0	0	0	7.216663	8.885277	-6.549185	7.15	10.221	-6.718	
20	442.4094	0	0	0	0	7.216834	8.885415	-6.549536	7.15	10.221	-6.718	
21	459.0506	0	0	0	0	7.21716	8.88542	-6.550289	7.15	10.221	-6.718	
22	463.4521	0	0	0	0	7.217476	8.885549	-6.550705	7.15	10.221	-6.718	
23	475.8255	0	0	0	0	7.217427	8.885449	-6.551084	7.15	10.221	-6.718	
24	486.0159	0	0	0	0	7.21764	8.885511	-6.551669	7.15	10.221	-6.718	
25	497.2673	0	0	0	0	7.217691	8.885472	-6.552166	7.15	10.221	-6.718	
26	508.7963	0	0	0	0	7.217862	8.885578	-6.552848	7.15	10.221	-6.718	
27	519.5673	0	0	0	0	7.217924	8.885632	-6.553601	7.15	10.221	-6.718	
28	531.3225	0	0	0	0	7.217811	8.885642	-6.554281	7.15	10.221	-6.718	
29	541.9537	0	0	0	0	7.217672	8.885763	-6.554957	7.15	10.221	-6.718	
30	553.2989	0	0	0	0	7.217492	8.885881	-6.555845	7.15	10.221	-6.718	
31	564.1747	0	0	0	0	7.217236	8.885929	-6.556761	7.15	10.221	-6.718	
32	575.1265	0	0	0	0	7.216867	8.886061	-6.557908	7.15	10.221	-6.718	
33	585.8692	0	0	0	0	7.216699	8.885912	-6.558109	7.15	10.221	-6.718	
34	621.2216	0	0	0	0	7.216007	8.885608	-6.559104	7.401306	8.101742	-6.196716	
35	628.124	0	0	0	0	7.214037	8.886072	-6.562281	7.401306	8.102474	-6.196716	
36	639.3309	0	0	0	0	7.213198	8.886105	-6.563247	7.40155	8.104916	-6.196716	
37	650.149	0	0	0	0	7.212379	8.886024	-6.564214	7.401672	8.105404	-6.196594	
38	661.1738	0	0	0	0	7.211435	8.885974	-6.56528	7.401794	8.105892	-6.19635	
39	672.3786	0	0	0	0	7.210397	8.885927	-6.566346	7.401794	8.106258	-6.196228	
40	772.3786	0	0	0	0	7.167891	8.919672	-6.717762	7.401917	8.106625	-6.196106	
41	786.7486	0	0	0	0	7.163093	8.930682	-6.738842	7.402039	8.106869	-6.196106	
42	792.4668	0	0	0	0	7.161813	8.933503	-6.744474	7.37384	8.385313	-6.388	
43	821.052	0	0	0	0	7.154524	8.94908	-6.777232	7.370911	8.409239	-6.415344	
44	854.7924	0	0	0	0	7.154441	8.951988	-6.78745	7.36554	8.44879	-6.462585	
45	876.6707	0	0	0	0	7.153233	8.955075	-6.79786	7.36322	8.454893	-6.471985	
46	897.8622	0	0	0	0	7.15251	8.956029	-6.802338	7.358459	8.461363	-6.479431	
47	908.8735	0	0	0	0	7.151748	8.957516	-6.807092	7.354919	8.463072	-6.481995	
48	919.4237	0	0	0	0	7.150839	8.958816	-6.811732	7.352112	8.466124	-6.486511	
49	930.1562	0	0	0	0	7.149914	8.960177	-6.816393	7.349915	8.469542	-6.491394	
50	941.6924	0	0	0	0	7.149021	8.961578	-6.820858	7.348083	8.472715	-6.495911	
51	952.3641	0	0	0	0	7.14901	8.961371	-6.82058	7.346741	8.476133	-6.500305	
52	963.2742	0	0	0	0	7.147978	8.962814	-6.82503	7.347229	8.475523	-6.499817	
53	973.9493	0	0	0	0	7.147026	8.964154	-6.829393	7.345642	8.478086	-6.503967	
54	985.1127	0	0	0	0	7.146092	8.965468	-6.833632	7.343811	8.480284	-6.507751	
55	996.1918	0	0	0	0	7.145281	8.966671	-6.837684	7.34198	8.482359	-6.511292	
56	1007.638	0	0	0	0	7.144458	8.967854	-6.841606	7.340271	8.483946	-6.514465	
57	1018.591	0	0	0	0	7.143801	8.969084	-6.845408	7.338684	8.485289	-6.517517	
58	1029.466	0	0	0	0	7.143169	8.970511	-6.848945	7.337219	8.486265	-6.520203	
59	1040.436	0	0	0	0	7.142412	8.971792	-6.852351	7.335876	8.487364	-6.5224	
60	1051.67	0	0	0	0	7.141815	8.972882	-6.85564	7.334534	8.488462	-6.523987	
61	1063.061	0	0	0	0	7.141232	8.97392	-6.859062	7.333191	8.489805	-6.525574	
62	1073.841	0	0	0	0	7.140751	8.974725	-6.862384	7.331238	8.491026	-6.52655	
63	1084.722	0	0	0	0	7.140306	8.975592	-6.865676	7.328796	8.492613	-6.527039	
64	1096.118	0	0	0	0	7.13992	8.976339	-6.868745	7.325867	8.494566	-6.526062	
65	1106.493	0	0	0	0	7.139607	8.977116	-6.871756	7.322693	8.496397	-6.524597	
66	1117.425	0	0	0	0	7.139375	8.977762	-6.87448	7.319153	8.49835	-6.52301	
67	1128.666	0	0	0	0	7.139079	8.978383	-6.877125	7.315002	8.500547	-6.520691	
68	1139.549	0	0	0	0	7.138888	8.978914	-6.879542	7.310364	8.503477	-6.517517	
69	1150.63	0	0	0	0	7.138605	8.979442	-6.881796	7.305847	8.507139	-6.514221	
70	1161.757	0	0	0	0	7.138295	8.979917	-6.883852	7.301331	8.511168	-6.510925	
71	1172.909	0	0	0	0	7.13805	8.9805	-6.885676	7.296326	8.515684	-6.507019	
72	1184.057	0	0	0	0	7.137804	8.981035	-6.887391	7.290833	8.520201	-6.502747	
73	1195.167	0	0	0	0	7.137593	8.981503	-6.888814	7.284119	8.525572	-6.497742	
74	1206.35	0	0	0	0	7.137445	8.981935	-6.890176	7.277405	8.531309	-6.492859	
75	1217.218	0	0	0	0	7.137278	8.982359	-6.891459	7.270081	8.537535	-6.48761	
76	1228.566	0	0	0	0	7.137167	8.982671	-6.892457	7.262756	8.543882	-6.482361	
77	1239.482	0	0	0	0	7.137135	8.98303	-6.893353	7.254944	8.550718	-6.476379	
78	1339.482	0	0	0	0	7.165848	8.988224	-6.77901	7.247253	8.558653	-6.470276	
79	1348.913	0	0	0	0	7.16603	8.988151	-6.777293	7.239563	8.568052	-6.464172	
80	1356.903	0	0	0	0	7.167908	8.987445	-6.764049	7.064026	8.984192	-6.062683	
81	1390.166	0	0	0	0	7.169114	8.988837	-6.765684	7.059143	8.979553	-6.055481	
82	1423.224	1	0	0	0	7.169836	8.989994	-6.768295	7.051941	8.974915	-6.061829	
83	1445.239	2	6.169836	8.989994	-6.268295	7.170466	8.990343	-6.769535	7.043152	8.969421	-6.069153	
84	1467.413	2	6.169836	8.989994	-6.268295	7.171867	8.991117	-6.770468	7.040466	8.968201	-6.071838	
85	1478.147	2	6.169836	8.989994	-6.268295	7.172828	8.991681	-6.771095	7.036682	8.965881	-6.076111	
86	1489.316	2	6.169836	8.989994	-6.268295	7.174074	8.992502	-6.772196	7.035217	8.964783	-6.078308	
87	1501.236	2	6.169836	8.989994	-6.268295	7.174906	8.993176	-6.773403	7.03595	8.964905	-6.078674	
88	1511.704	2	6.169836	8.989994	-6.268295	7.175627	8.993606	-6.774413	7.034973	8.963684	-6.080627	
89	1522.764	2	6.169836	8.989994	-6.268295	7.175786	8.993821	-6.775265	7.034607	8.962341	-6.082458	
90	1533.966	2	6.169836	8.989994	-6.268295	7.176096	8.994081	-6.77616	7.034363	8.961121	-6.08429	
91	1544.865	2	6.169836	8.989994	-6.268295	7.176234	8.994144	-6.776682	7.033875	8.9599	-6.086243	
92	1555.867	2	6.169836	8.989994	-6.268295	7.17687	8.994687	-6.778213	7.033264	8.959045	-6.088562	
93	1567.268	2	6.169836	8.989994	-6.268295	7.177583	8.995464	-6.780005	7.032532	8.958313	-6.091125	
94	1578.158	2	6.169836	8.989994	-6.268295	7.177795	8.995913	-6.781418	7.032166	8.957703	-6.094543	
95	1589.138	2	6.169836	8.989994	-6.268295	7.177952	8.996298	-6.782763	7.032166	8.957336	-6.09845	
96	1600.244	2	6.169836	8.989994	-6.268295	7.177783	8.996583	-6.78428	7.032776	8.956848	-6.10321	
97	1611.262	2	6.169836	8.989994	-6.268295	7.177694	8.996736	-6.785757	7.03363	8.956238	-6.108215	
98	1622.427	2	6.169836	8.989994	-6.268295	7.177436	8.996875	-6.787369	7.034729	8.955261	-6.113342	
99	1633.502	2	6.169836	8.989994	-6.268295	7.177083	8.997097	-6.788989	7.035583	8.953918	-6.118347	
100	1644.83	2	6.169836	8.989994	-6.268295	7.176675	8.997399	-6.790548	7.03656	8.952209	-6.123962	
101	1656.141	2	6.169836	8.989994	-6.268295	7.176065	8.997764	-6.792225	7.037292	8.950378	-6.130066	
102	1666.927	2	6.169836	8.989994	-6.268295	7.175568	8.997926	-6.793417	7.038269	8.948303	-6.137512	
103	1678.075	2	6.169836	8.989994	-6.268295	7.174455	8.998278	-6.79583	7.039368	8.945984	-6.145813	
104	1689.159	2	6.169836	8.989994	-6.268295	7.173163	8.998387	-6.79779	7.040466	8.943542	-6.154236	
105	1700.244	2	6.169836	8.989994	-6.268295	7.171354	8.998514	-6.799975	7.041443	8.940491	-6.163147	
106	1711.285	2	6.169836	8.989994	-6.268295	7.169415	8.998514	-6.802253	7.042053	8.937073	-6.171936	
107	1722.641	2	6.169836	8.989994	-6.268295	7.167265	8.998506	-6.804626	7.042542	8.932922	-6.181213	
108	1733.798	2	6.169836	8.989994	-6.268295	7.164974	8.998575	-6.807262	7.042786	8.928284	-6.190735	
109	1744.716	2	6.169836	8.989994	-6.268295	7.162664	8.998742	-6.809989	7.042419	8.922791	-6.200989	
110	1756.014	2	6.169836	8.989994	-6.268295	7.160098	8.998806	-6.812971	7.041809	8.917175	-6.211609	
111	1766.774	2	6.169836	8.989994	-6.268295	7.157742	8.998953	-6.815949	7.041321	8.91156	-6.222107	
112	1778.135	2	6.169836	8.989994	-6.268295	7.15525	8.999095	-6.819216	7.040955	8.906067	-6.232849	
113	1788.985	2	6.169836	8.989994	-6.268295	7.152872	8.999322	-6.822466	7.040833	8.900818	-6.243225	
114	1800.329	2	6.169836	8.989994	-6.268295	7.150436	8.999656	-6.826012	7.040588	8.895325	-6.253235	
115	1811.934	2	6.169836	8.989994	-6.268295	7.148132	9.000006	-6.82969	7.039978	8.889709	-6.263	
116	1822.831	2	6.169836	8.989994	-6.268295	7.145946	9.000287	-6.833282	7.038635	8.883606	-6.272278	
117	1833.706	2	6.169836	8.989994	-6.268295	7.143816	9.00055	-6.837066	7.03656	8.877625	-6.281555	
118	1845.115	2	6.169836	8.989994	-6.268295	7.141747	9.000843	-6.840669	7.033264	8.871398	-6.290588	
119	1856.108	2	6.169836	8.989994	-6.268295	7.139885	9.001222	-6.844202	7.02948	8.865417	-6.2995	
120	1867.071	2	6.169836	8.989994	-6.268295	7.138092	9.001702	-6.847625	7.025574	8.859557	-6.308167	
121	1878.23	2	6.169836	8.989994	-6.268295	7.136475	9.002133	-6.850968	7.020935	8.854064	-6.316467	
122	1889.605	2	6.169836	8.989994	-6.268295	7.134918	9.002595	-6.854248	7.01593	8.848571	-6.324524	
123	1900.54	2	6.169836	8.989994	-6.268295	7.133328	9.002952	-6.857419	7.009827	8.8432	-6.332458	
124	1911.811	2	6.169836	8.989994	-6.268295	7.131843	9.003155	-6.860558	7.003357	8.837829	-6.340149	
125	1922.814	2	6.169836	8.989994	-6.268295	7.130274	9.003304	-6.863676	6.995789	8.832702	-6.347717	
126	1934.248	2	6.169836	8.989994	-6.268295	7.128701	9.003451	-6.866782	6.987732	8.827697	-6.355286	
127	1945.091	2	6.169836	8.989994	-6.268295	7.127002	9.00358	-6.869853	6.979431	8.823058	-6.362732	
128	1956.39	2	6.169836	8.989994	-6.268295	7.125146	9.003726	-6.87285	6.970276	8.818908	-6.369934	
129	1967.784	2	6.169836	8.989994	-6.268295	7.123123	9.003863	-6.875863	6.960876	8.815124	-6.37738	
130	1978.827	2	6.169836	8.989994	-6.268295	7.120915	9.003918	-6.878726	6.950745	8.812072	-6.384705	
131	1989.871	2	6.169836	8.989994	-6.268295	7.11865	9.004031	-6.881665	6.940491	8.80963	-6.392029	
132	2000.87	2	6.169836	8.989994	-6.268295	7.11612	9.004034	-6.884462	6.929626	8.807921	-6.399353	
133	2011.954	2	6.169836	8.989994	-6.268295	7.113507	9.004073	-6.887295	6.918152	8.806823	-6.406555	
134	2023.028	2	6.169836	8.989994	-6.268295	7.110651	9.004125	-6.890057	6.906311	8.805968	-6.413513	
135	2034.142	2	6.169836	8.989994	-6.268295	7.107661	9.004066	-6.892769	6.89325	8.805602	-6.419983	
136	2045.551	2	6.169836	8.989994	-6.268295	7.104464	9.003938	-6.895347	6.880188	8.805236	-6.426453	
137	2056.589	2	6.169836	8.989994	-6.268295	7.1011	9.003834	-6.897826	6.866394	8.805602	-6.432922	
138	2067.636	2	6.169836	8.989994	-6.268295	7.097589	9.003829	-6.90048	6.8526	8.806212	-6.439514	
139	2079.222	2	6.169836	8.989994	-6.268295	7.093812	9.003743	-6.902872	6.838318	8.807921	-6.446228	
140	2089.953	2	6.169836	8.989994	-6.268295	7.089978	9.003712	-6.90533	6.823914	8.810241	-6.453064	
141	2101.131	2	6.169836	8.989994	-6.268295	7.085762	9.00357	-6.907654	6.809265	8.81256	-6.459656	
142	2112.282	2	6.169836	8.989994	-6.268295	7.081491	9.003432	-6.909878	6.79364	8.815612	-6.465881	
143	2123.787	2	6.169836	8.989994	-6.268295	7.077186	9.00314	-6.912052	6.777771	8.818542	-6.471619	
144	2134.745	2	6.169836	8.989994	-6.268295	7.072641	9.002795	-6.914127	6.761536	8.822204	-6.476746	
145	2145.796	2	6.169836	8.989994	-6.268295	7.068145	9.002347	-6.916296	6.7453	8.825622	-6.481628	
146	2157.167	2	6.169836	8.989994	-6.268295	7.063308	9.001859	-6.918225	6.728699	8.829406	-6.486023	
147	2168.136	2	6.169836	8.989994	-6.268295	7.058482	9.001323	-6.920036	6.712097	8.833312	-6.490051	
148	2179.049	2	6.169836	8.989994	-6.268295	7.053609	9.000706	-6.921714	6.695496	8.837218	-6.493835	
149	2190.066	2	6.169836	8.989994	-6.268295	7.048672	9.00007	-6.923353	6.678772	8.841735	-6.497131	
150	2201.486	2	6.169836	8.989994	-6.268295	7.043468	8.999458	-6.924812	6.661926	8.846496	-6.500061	
151	2212.604	2	6.169836	8.989994	-6.268295	7.038291	8.99861	-6.925911	6.644592	8.851867	-6.50238	
152	2223.947	2	6.169836	8.989994	-6.268295	7.033218	8.997795	-6.926978	6.627258	8.857604	-6.504211	
153	2234.872	2	6.169836	8.989994	-6.268295	7.028051	8.99697	-6.927853	6.609924	8.863341	-6.505554	
154	2245.956	2	6.169836	8.989994	-6.268295	7.022936	8.99611	-6.928685	6.59259	8.869689	-6.506042	
155	2257.367	2	6.169836	8.989994	-6.268295	7.017896	8.995208	-6.929086	6.575745	8.87616	-6.50592	
156	2268.287	2	6.169836	8.989994	-6.268295	7.012899	8.994335	-6.929338	6.559265	8.88324	-6.504822	
157	2279.811	2	6.169836	8.989994	-6.268295	7.008172	8.993399	-6.929651	6.543152	8.890442	-6.503235	
158	2290.64	2	6.169836	8.989994	-6.268295	7.003518	8.992613	-6.929483	6.527527	8.898254	-6.500427	
159	2301.753	2	6.169836	8.989994	-6.268295	6.998879	8.991649	-6.929236	6.512146	8.905945	-6.497131	
160	2312.999	2	6.169836	8.989994	-6.268295	6.994516	8.990578	-6.928712	6.496887	8.914124	-6.492493	
161	2323.871	2	6.169836	8.989994	-6.268295	6.990345	8.989401	-6.92832	6.482117	8.921936	-6.487122	
162	2335.187	2	6.169836	8.989994	-6.268295	6.986496	8.987967	-6.927638	6.467834	8.92926	-6.481506	
163	2346.39	2	6.169836	8.989994	-6.268295	6.982828	8.986579	-6.927011	6.454529	8.936218	-6.475281	
164	2357.508	2	6.169836	8.989994	-6.268295	6.979362	8.985248	-6.926481	6.441833	8.942688	-6.469177	
165	2369.044	2	6.169836	8.989994	-6.268295	6.975988	8.984002	-6.925925	6.429871	8.948303	-6.462952	
166	2379.784	2	6.169836	8.989994	-6.268295	6.972703	8.982907	-6.92528	6.418518	8.952942	-6.45697	
167	2391.273	2	6.169836	8.989994	-6.268295	6.969465	8.982008	-6.924675	6.407288	8.95697	-6.450745	
168	2402.204	2	6.169836	8.989994	-6.268295	6.966264	8.98133	-6.923888	6.397156	8.959656	-6.444519	
169	2413.631	2	6.169836	8.989994	-6.268295	6.963354	8.980701	-6.923185	6.387634	8.961975	-6.438538	
170	2424.557	2	6.169836	8.989994	-6.268295	6.96057	8.979976	-6.922892	6.3797	8.963074	-6.432922	
171	2436.199	2	6.169836	8.989994	-6.268295	6.958035	8.979096	-6.922957	6.372375	8.963684	-6.427551	
172	2446.899	2	6.169836	8.989994	-6.268295	6.955558	8.978267	-6.923081	6.367371	8.963196	-6.423035	
173	2457.835	2	6.169836	8.989994	-6.268295	6.953199	8.977445	-6.923203	6.364075	8.962463	-6.419128	
174	2469.237	2	6.169836	8.989994	-6.268295	6.950924	8.976684	-6.923484	6.362122	8.961975	-6.415588	
175	2480.185	2	6.169836	8.989994	-6.268295	6.948685	8.976265	-6.923931	6.36261	8.961365	-6.413147	
176	2491.448	2	6.169836	8.989994	-6.268295	6.946611	8.976156	-6.924536	6.363586	8.961121	-6.411072	
177	2502.594	2	6.169836	8.989994	-6.268295	6.944556	8.976149	-6.925267	6.366028	8.961243	-6.410339	
178	2513.564	2	6.169836	8.989994	-6.268295	6.942624	8.976266	-6.925832	6.367859	8.961243	-6.410706	
179	2524.951	2	6.169836	8.989994	-6.268295	6.941073	8.976336	-6.926609	6.36969	8.960754	-6.412659	
180	2536.128	2	6.169836	8.989994	-6.268295	6.93997	8.976579	-6.927029	6.371033	8.959656	-6.416199	
181	2547.174	2	6.169836	8.989994	-6.268295	6.939019	8.976772	-6.927374	6.371765	8.957825	-6.420227	
182	2558.346	2	6.169836	8.989994	-6.268295	6.938598	8.977186	-6.927607	6.372375	8.955139	-6.42572	
183	2570.075	2	6.169836	8.989994	-6.268295	6.938546	8.977615	-6.928059	6.373596	8.952087	-6.431335	
184	2580.986	2	6.169836	8.989994	-6.268295	6.938516	8.978121	-6.928458	6.376648	8.948059	-6.438049	
185	2592.082	2	6.169836	8.989994	-6.268295	6.93881	8.978876	-6.928698	6.381653	8.943542	-6.444641	
186	2603.023	2	6.169836	8.989994	-6.268295	6.939304	8.979708	-6.928934	6.387634	8.93866	-6.450745	
187	2613.922	2	6.169836	8.989994	-6.268295	6.940115	8.980742	-6.92902	6.395691	8.933044	-6.45636	
188	2625.595	2	6.169836	8.989994	-6.268295	6.941166	8.981703	-6.929154	6.404236	8.927551	-6.461365	
189	2636.813	2	6.169836	8.989994	-6.268295	6.942352	8.982471	-6.92904	6.414246	8.921692	-6.466125	
190	2647.645	2	6.169836	8.989994	-6.268295	6.943916	8.983174	-6.928661	6.4245	8.915833	-6.470886	
191	2658.959	2	6.169836	8.989994	-6.268295	6.94563	8.983652	-6.928318	6.435974	8.909485	-6.476013	
192	2670.467	2	6.169836	8.989994	-6.268295	6.947906	8.984151	-6.927694	6.447815	8.902893	-6.481262	
193	2681.186	2	6.169836	8.989994	-6.268295	6.950404	8.984517	-6.926881	6.459534	8.896301	-6.486755	
194	2692.243	2	6.169836	8.989994	-6.268295	6.953402	8.984786	-6.925605	6.472229	8.889221	-6.492249	
195	2703.512	2	6.169836	8.989994	-6.268295	6.956757	8.985121	-6.92408	6.485168	8.882385	-6.49762	
196	2714.933	2	6.169836	8.989994	-6.268295	6.960476	8.985482	-6.922649	6.498962	8.875549	-6.502502	
197	2726.17	2	6.169836	8.989994	-6.268295	6.964521	8.985874	-6.920811	6.513	8.868834	-6.506775	
198	2737.141	2	6.169836	8.989994	-6.268295	6.96859	8.986242	-6.91912	6.526672	8.861754	-6.510803	
199	2748.41	2	6.169836	8.989994	-6.268295	6.973112	8.986607	-6.917408	6.540344	8.854674	-6.514343	
200	2759.672	2	6.169836	8.989994	-6.268295	6.978015	8.986816	-6.9159	6.55365	8.847716	-6.517761	
201	2770.659	2	6.169836	8.989994	-6.268295	6.983032	8.98692	-6.91451	6.566589	8.841002	-6.520813	
202	2781.834	2	6.169836	8.989994	-6.268295	6.988309	8.986934	-6.913248	6.579773	8.834777	-6.523621	
