3/22/2019 3:22:32 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
423	4935.807	0	0	0	0	7.043267	8.964928	-6.438332	7.295471	8.818908	-6.289246	
424	4941.704	0	0	0	0	7.043359	8.965382	-6.438841	7.295959	8.817199	-6.288513	
425	4952.056	0	0	0	0	7.043521	8.965893	-6.439378	7.296082	8.815368	-6.287537	
426	4962.951	0	0	0	0	7.043711	8.966341	-6.4399	7.295837	8.813537	-6.286438	
427	4973.917	0	0	0	0	7.043769	8.96683	-6.440352	7.294861	8.811584	-6.285095	
428	4985.048	0	0	0	0	7.043853	8.967357	-6.440846	7.293884	8.80963	-6.283875	
429	4996.452	0	0	0	0	7.044034	8.967912	-6.441344	7.292542	8.807677	-6.282532	
430	5007.718	0	0	0	0	7.044179	8.968404	-6.441795	7.291199	8.805846	-6.281189	
431	5018.377	0	0	0	0	7.04425	8.968943	-6.442212	7.290344	8.804015	-6.279968	
432	5029.449	0	0	0	0	7.044396	8.969489	-6.442629	7.289734	8.802428	-6.278748	
433	5040.482	0	0	0	0	7.044457	8.970096	-6.442975	7.289246	8.800841	-6.277649	
434	5053.372	0	0	0	0	7.04461	8.970717	-6.443332	7.288635	8.799254	-6.276428	
435	5063.521	0	0	0	0	7.044681	8.971285	-6.443634	7.287781	8.79779	-6.275208	
436	5074.159	0	0	0	0	7.044716	8.971936	-6.443975	7.286438	8.796203	-6.273743	
437	5084.98	0	0	0	0	7.044773	8.972466	-6.444287	7.284973	8.794738	-6.2724	
438	5096.436	0	0	0	0	7.044765	8.973055	-6.444675	7.283264	8.793151	-6.271057	
439	5107.37	0	0	0	0	7.044729	8.973577	-6.444965	7.281311	8.791686	-6.26947	
440	5118.59	0	0	0	0	7.0447	8.974077	-6.445298	7.279602	8.790465	-6.267639	
441	5129.588	0	0	0	0	7.0446	8.97464	-6.445603	7.277527	8.789123	-6.265198	
442	5140.99	0	0	0	0	7.044473	8.975129	-6.445825	7.27533	8.787902	-6.263	
443	5151.871	0	0	0	0	7.044248	8.975614	-6.446114	7.27301	8.786925	-6.260925	
444	5163.036	0	0	0	0	7.043988	8.976067	-6.446347	7.270447	8.785949	-6.25885	
445	5174.125	0	0	0	0	7.043682	8.976624	-6.446672	7.267517	8.78485	-6.257019	
446	5185.292	0	0	0	0	7.043329	8.977122	-6.446946	7.264587	8.783751	-6.254944	
447	5196.245	0	0	0	0	7.042964	8.977614	-6.447231	7.261902	8.782897	-6.252747	
448	5207.664	0	0	0	0	7.042501	8.978043	-6.447439	7.259216	8.782043	-6.250427	
449	5218.7	0	0	0	0	7.042052	8.978533	-6.447656	7.256287	8.781188	-6.248108	
450	5229.979	0	0	0	0	7.04158	8.979041	-6.447922	7.253357	8.780211	-6.245911	
451	5240.75	0	0	0	0	7.041023	8.979479	-6.447985	7.250549	8.779235	-6.243713	
452	5252.219	0	0	0	0	7.040409	8.979939	-6.448152	7.24762	8.77838	-6.241516	
453	5263.362	0	0	0	0	7.039774	8.980359	-6.448286	7.244324	8.777404	-6.239441	
