4/14/2019 12:50:32 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
418	5244.656	0	0	0	0	6.942767	10.19623	-6.823977	7.405754	9.835723	-6.745592	
419	5250.892	0	0	0	0	6.942724	10.1963	-6.823925	7.405837	9.835751	-6.745469	
420	5260.377	0	0	0	0	6.942697	10.19631	-6.82394	7.405787	9.835516	-6.745412	
421	5270.238	0	0	0	0	6.942722	10.19633	-6.824022	7.405692	9.835533	-6.745388	
422	5281.035	0	0	0	0	6.942715	10.19627	-6.824104	7.405855	9.83547	-6.745479	
423	5293.167	0	0	0	0	6.942621	10.19626	-6.824227	7.405816	9.835292	-6.745459	
424	5303.514	0	0	0	0	6.942531	10.19622	-6.824267	7.405715	9.835248	-6.745458	
425	5318.022	0	0	0	0	6.94242	10.19622	-6.824313	7.405636	9.835422	-6.745308	
426	5328.289	0	0	0	0	6.942368	10.19619	-6.824362	7.405573	9.835288	-6.745134	
427	5339.542	0	0	0	0	6.942308	10.1962	-6.824345	7.405549	9.835376	-6.745037	
428	5347.875	0	0	0	0	6.942194	10.19627	-6.824327	7.405446	9.83552	-6.745042	
429	5359.327	0	0	0	0	6.942113	10.19629	-6.824408	7.405482	9.835472	-6.745018	
430	5371.282	0	0	0	0	6.942068	10.19629	-6.824476	7.405362	9.835489	-6.744987	
431	5383.338	0	0	0	0	6.941986	10.19632	-6.824521	7.405298	9.835499	-6.745033	
432	5393.304	0	0	0	0	6.941949	10.19634	-6.824593	7.40535	9.835549	-6.744992	
433	5404.165	0	0	0	0	6.941944	10.19637	-6.824736	7.405364	9.835614	-6.745074	
434	5416.09	0	0	0	0	6.941885	10.19637	-6.824807	7.405388	9.835626	-6.745197	
435	5426.519	0	0	0	0	6.941873	10.19638	-6.824914	7.405408	9.835587	-6.745174	
436	5437.519	0	0	0	0	6.941861	10.19635	-6.825039	7.405401	9.835687	-6.745284	
