4/14/2019 1:32:12 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
4	190.5805	0	0	0	0	7.049366	10.16657	-6.636978	7.333346	9.822317	-6.67695	
5	203.3967	0	0	0	0	7.040611	10.17033	-6.641355	7.333216	9.822404	-6.676868	
6	216.5103	0	0	0	0	7.0416	10.17037	-6.642875	7.333247	9.822357	-6.676957	
7	229.5044	0	0	0	0	7.041991	10.17037	-6.643142	7.333253	9.82237	-6.676942	
8	329.5044	0	0	0	0	7.041585	10.1703	-6.643018	7.333162	9.822349	-6.677075	
9	351.4435	0	0	0	0	7.040206	10.17025	-6.643625	7.333146	9.822365	-6.677032	
10	362.6329	0	0	0	0	7.040596	10.17021	-6.6441	7.333211	9.822397	-6.67694	
11	370.675	0	0	0	0	7.040587	10.17035	-6.64446	7.333205	9.822399	-6.676921	
12	382.1832	0	0	0	0	7.041021	10.17025	-6.644997	7.333222	9.822397	-6.676898	
13	393.8225	0	0	0	0	7.041105	10.17025	-6.645209	7.333127	9.822392	-6.676977	
14	406.2177	0	0	0	0	7.041364	10.17042	-6.645869	7.333133	9.822413	-6.676995	
15	415.9328	0	0	0	0	7.041914	10.17032	-6.646513	7.333131	9.822417	-6.676977	
16	427.0925	0	0	0	0	7.042171	10.1703	-6.646725	7.333155	9.822441	-6.676907	
17	438.1146	0	0	0	0	7.042514	10.17043	-6.647476	7.333149	9.822439	-6.676896	
18	449.6595	0	0	0	0	7.043258	10.17022	-6.648202	7.333281	9.822312	-6.67707	
19	460.2742	0	0	0	0	7.043268	10.17014	-6.648421	7.33329	9.822316	-6.677056	
20	471.439	0	0	0	0	7.043617	10.17019	-6.648931	7.333287	9.822316	-6.677067	
21	571.439	0	0	0	0	7.044114	10.17001	-6.649638	7.333255	9.822325	-6.677103	
22	581.3176	0	0	0	0	7.044099	10.16987	-6.649799	7.333114	9.822382	-6.676875	
23	594.8663	0	0	0	0	7.047793	10.16856	-6.653868	7.333132	9.822432	-6.676801	
24	604.1462	0	0	0	0	7.048216	10.16828	-6.654288	7.333177	9.822395	-6.676805	
25	615.5616	0	0	0	0	7.048345	10.1682	-6.654098	7.333065	9.822363	-6.676889	
26	626.3203	0	0	0	0	7.048388	10.16848	-6.65444	7.333143	9.822478	-6.67698	
27	638.1882	0	0	0	0	7.048737	10.16827	-6.65483	7.333242	9.822405	-6.677029	
28	648.0938	0	0	0	0	7.048309	10.16822	-6.654646	7.333256	9.822414	-6.677001	
29	659.3652	0	0	0	0	7.048064	10.16839	-6.654903	7.333219	9.822343	-6.676965	
