4/14/2019 1:36:23 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
1466	17231.11	0	0	0	0	7.068528	10.20145	-6.746895	7.91418	9.826692	-6.903343	
1467	17237.5	0	0	0	0	7.06854	10.20173	-6.747353	7.914201	9.82679	-6.903369	
1468	17245.63	0	0	0	0	7.068586	10.2019	-6.747898	7.914201	9.82681	-6.903395	
1469	17254.75	0	0	0	0	7.068656	10.20209	-6.748355	7.914239	9.8268	-6.903427	
1470	17266.35	0	0	0	0	7.068827	10.20235	-6.748945	7.914177	9.826704	-6.903333	
1471	17277.33	0	0	0	0	7.068943	10.20257	-6.749485	7.914221	9.826742	-6.903251	
1472	17288.35	0	0	0	0	7.069065	10.20273	-6.749981	7.914227	9.826695	-6.903347	
1473	17299.81	0	0	0	0	7.06916	10.20289	-6.750569	7.914172	9.826572	-6.903302	
1474	17310.73	0	0	0	0	7.069128	10.20298	-6.751119	7.914182	9.826562	-6.903293	
1475	17322.19	0	0	0	0	7.069243	10.20304	-6.75166	7.914226	9.826533	-6.903263	
1476	17334.9	0	0	0	0	7.069451	10.20318	-6.752312	7.914316	9.826628	-6.903295	
1477	17345.3	0	0	0	0	7.069626	10.20332	-6.752898	7.914324	9.82661	-6.903333	
1478	17355.68	0	0	0	0	7.069888	10.20352	-6.7534	7.914263	9.826674	-6.903316	
1479	17366.79	0	0	0	0	7.070251	10.20379	-6.753941	7.914318	9.826765	-6.903336	
1480	17377.83	0	0	0	0	7.070565	10.20402	-6.754337	7.914297	9.826856	-6.903399	
1481	17390.59	0	0	0	0	7.070846	10.20427	-6.754712	7.91425	9.826857	-6.903447	
1482	17400.6	0	0	0	0	7.071303	10.2045	-6.755187	7.914123	9.826759	-6.903421	
1483	17411.54	0	0	0	0	7.071733	10.20472	-6.755644	7.914142	9.826764	-6.903385	
1484	17422.89	0	0	0	0	7.072163	10.20494	-6.756047	7.914252	9.826772	-6.90336	
1485	17434.48	0	0	0	0	7.072637	10.20516	-6.756594	7.914237	9.82672	-6.903365	
1486	17445.18	0	0	0	0	7.073023	10.20527	-6.757022	7.914245	9.826778	-6.903354	
1487	17456.36	0	0	0	0	7.073267	10.20537	-6.757433	7.914268	9.826743	-6.903407	
