4/14/2019 1:31:35 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	
1545	18020.58	0	0	0	0	7.070624	10.20462	-6.788491	7.331911	9.822827	-6.676583	
1546	18120.58	0	0	0	0	7.070662	10.20447	-6.788431	7.332246	9.822753	-6.676645	
1547	18129.14	0	0	0	0	7.090714	10.203	-6.786448	7.332247	9.822742	-6.676685	
1548	18133.71	0	0	0	0	7.091342	10.20304	-6.786389	7.332148	9.822794	-6.676641	
1549	18143.49	0	0	0	0	7.092091	10.20313	-6.78638	7.33214	9.822798	-6.676651	
1550	18154.22	0	0	0	0	7.092749	10.20316	-6.786418	7.33215	9.822748	-6.676569	
1551	18165.68	0	0	0	0	7.093465	10.20317	-6.786614	7.332404	9.822564	-6.676713	
1552	18178.11	0	0	0	0	7.094262	10.20317	-6.786843	7.332391	9.822532	-6.676764	
1553	18188.02	0	0	0	0	7.09494	10.20325	-6.787046	7.332458	9.822583	-6.676839	
1554	18199.59	0	0	0	0	7.095567	10.20334	-6.787351	7.332114	9.822807	-6.676713	
1555	18210.15	0	0	0	0	7.096346	10.20337	-6.787733	7.332098	9.822828	-6.676696	
1556	18221.28	0	0	0	0	7.096957	10.20345	-6.788176	7.332043	9.822797	-6.676697	
1557	18232.62	0	0	0	0	7.097472	10.2035	-6.788548	7.33202	9.822853	-6.676587	
1558	18243.73	0	0	0	0	7.098272	10.20361	-6.789037	7.332038	9.822882	-6.676535	
1559	18254.85	0	0	0	0	7.098776	10.20367	-6.789608	7.331836	9.822814	-6.676541	
1560	18265.93	0	0	0	0	7.099253	10.20376	-6.790171	7.331538	9.822815	-6.67661	
1561	18277.79	0	0	0	0	7.099739	10.20392	-6.790681	7.331006	9.822707	-6.676794	
1562	18290.8	0	0	0	0	7.100123	10.2041	-6.791218	7.330071	9.822909	-6.677288	
1563	18300.96	0	0	0	0	7.100351	10.20427	-6.791824	7.329281	9.822921	-6.677622	
1564	18310.91	0	0	0	0	7.100543	10.20445	-6.792318	7.328396	9.822997	-6.677922	
1565	18322.93	0	0	0	0	7.100844	10.20468	-6.792806	7.327141	9.822725	-6.678112	
1566	18334.08	0	0	0	0	7.100815	10.20497	-6.793102	7.326246	9.822714	-6.678383	
1567	18345	0	0	0	0	7.100732	10.2052	-6.793544	7.325369	9.822806	-6.678452	
1568	18355.88	0	0	0	0	7.100612	10.20541	-6.793756	7.324646	9.82279	-6.678715	
1569	18366.64	0	0	0	0	7.100496	10.20557	-6.79405	7.324258	9.822562	-6.67925	
1570	18378	0	0	0	0	7.100323	10.20577	-6.794426	7.323678	9.822512	-6.679482	
1571	18389.11	0	0	0	0	7.099978	10.20584	-6.794576	7.323416	9.822589	-6.67973	
1572	18400.4	0	0	0	0	7.099498	10.20602	-6.794679	7.322953	9.822721	-6.679727	
1573	18411.31	0	0	0	0	7.09926	10.20608	-6.794993	7.322762	9.822726	-6.679712	
1574	18422.49	0	0	0	0	7.09873	10.20613	-6.79504	7.322829	9.822756	-6.679746	
1575	18434.21	0	0	0	0	7.098243	10.20626	-6.795077	7.322951	9.82271	-6.679655	
1576	18446.82	0	0	0	0	7.097928	10.20637	-6.795312	7.322984	9.822633	-6.679837	
1577	18457.32	0	0	0	0	7.097451	10.2063	-6.795321	7.323183	9.822475	-6.679719	
1578	18467.17	0	0	0	0	7.096812	10.20642	-6.795061	7.323611	9.822454	-6.679282	
1579	18478.6	0	0	0	0	7.096317	10.20651	-6.795017	7.324222	9.822435	-6.679011	
1580	18489.71	0	0	0	0	7.095868	10.20664	-6.79489	7.325127	9.822671	-6.67893	
1581	18500.6	0	0	0	0	7.09521	10.20673	-6.794465	7.326082	9.822528	-6.678575	
1582	18512.02	0	0	0	0	7.094678	10.20684	-6.794159	7.326851	9.822504	-6.678323	
1583	18522.89	0	0	0	0	7.094141	10.20695	-6.793826	7.328026	9.822783	-6.678214	
1584	18534.85	0	0	0	0	7.093546	10.20701	-6.793387	7.329286	9.822575	-6.677843	
1585	18545.31	0	0	0	0	7.093052	10.20703	-6.793079	7.330297	9.82257	-6.67751	
1586	18556.65	0	0	0	0	7.092512	10.20696	-6.792695	7.331545	9.822737	-6.677305	
1587	18567.99	0	0	0	0	7.091963	10.20697	-6.792275	7.332699	9.822694	-6.676966	
1588	18578.79	0	0	0	0	7.091468	10.20691	-6.79205	7.333893	9.822712	-6.676595	
1589	18590.37	0	0	0	0	7.09101	10.20686	-6.791742	7.33393	9.823007	-6.676966	
1590	18602.04	0	0	0	0	7.090593	10.20675	-6.791463	7.333835	9.822426	-6.677106	
1591	18612.82	0	0	0	0	7.090135	10.20661	-6.791378	7.333696	9.82227	-6.677275	
1592	18623.63	0	0	0	0	7.089784	10.20646	-6.791194	7.333644	9.82162	-6.677715	
1593	18634.66	0	0	0	0	7.089431	10.20633	-6.791042	7.333045	9.821789	-6.677426	
1594	18646.01	0	0	0	0	7.0891	10.20618	-6.791092	7.333197	9.821642	-6.677242	
1595	18657.08	0	0	0	0	7.088886	10.20604	-6.791077	7.333212	9.821476	-6.677308	
1596	18668.54	0	0	0	0	7.08857	10.20594	-6.790997	7.332405	9.822005	-6.676859	
1597	18679.46	0	0	0	0	7.088383	10.20579	-6.791086	7.332361	9.821901	-6.676824	
1598	18690.68	0	0	0	0	7.088117	10.20561	-6.791035	7.332558	9.822008	-6.676992	
1599	18701.77	0	0	0	0	7.087846	10.20555	-6.790979	7.33219	9.822268	-6.67668	
1600	18712.9	0	0	0	0	7.087781	10.20551	-6.791066	7.332288	9.822242	-6.676572	
1601	18724.42	0	0	0	0	7.087638	10.20549	-6.791095	7.33246	9.822444	-6.676638	
1602	18735.36	0	0	0	0	7.087376	10.20549	-6.791064	7.33229	9.822515	-6.676554	
1603	18746.81	0	0	0	0	7.087327	10.2055	-6.79113	7.332356	9.822521	-6.676485	
1604	18758.62	0	0	0	0	7.087162	10.20549	-6.791167	7.332424	9.82264	-6.676528	
1605	18768.66	0	0	0	0	7.086856	10.20552	-6.790953	7.332436	9.822643	-6.676342	
1606	18780.11	0	0	0	0	7.086696	10.20556	-6.790945	7.332399	9.822627	-6.676345	
1607	18791.35	0	0	0	0	7.086606	10.20571	-6.790886	7.33249	9.822753	-6.676393	
1608	18802.15	0	0	0	0	7.086478	10.20578	-6.790857	7.332608	9.822654	-6.676321	
1609	18814.1	0	0	0	0	7.086346	10.20587	-6.790892	7.332503	9.822612	-6.676402	
1610	18824.49	0	0	0	0	7.086429	10.20602	-6.791052	7.332559	9.822672	-6.676581	
1611	18839.55	0	0	0	0	7.086289	10.206	-6.790992	7.332651	9.822582	-6.676596	
1612	18851.27	0	0	0	0	7.086395	10.20602	-6.791024	7.332744	9.822609	-6.676619	
1613	18862.18	0	0	0	0	7.086329	10.206	-6.791014	7.332713	9.822581	-6.676702	
1614	18873.32	0	0	0	0	7.086112	10.20603	-6.790884	7.332616	9.822656	-6.676672	
1615	18884.83	0	0	0	0	7.086143	10.20604	-6.790894	7.332673	9.822667	-6.676646	
1616	18896.05	0	0	0	0	7.086033	10.20607	-6.790756	7.332695	9.822654	-6.676634	
1617	18907.91	0	0	0	0	7.085917	10.20608	-6.790651	7.332675	9.822654	-6.67661	
1618	18918.49	0	0	0	0	7.085806	10.20603	-6.790674	7.332621	9.822598	-6.67661	
1619	18930.1	0	0	0	0	7.085672	10.20605	-6.790485	7.332601	9.8226	-6.676527	
1620	18941.55	0	0	0	0	7.085616	10.20605	-6.790435	7.332619	9.822544	-6.676497	
1621	18952.47	0	0	0	0	7.085639	10.2061	-6.790525	7.332734	9.822582	-6.676459	
1622	18963.2	0	0	0	0	7.085656	10.20609	-6.790562	7.332694	9.822564	-6.676551	
1623	18974.12	0	0	0	0	7.085622	10.2061	-6.790564	7.332792	9.822487	-6.676557	
1624	18985.31	0	0	0	0	7.085648	10.20615	-6.79072	7.332863	9.822558	-6.676579	
1760	20505.51	0	0	0	0	7.081111	10.2073	-6.802667	7.333414	9.822548	-6.676843	
1761	20515.04	0	0	0	0	7.08082	10.20732	-6.802638	7.332826	9.822464	-6.677125	
1762	20525.99	0	0	0	0	7.080698	10.20738	-6.802628	7.332806	9.822421	-6.677144	
1763	20536.9	0	0	0	0	7.080431	10.20734	-6.802463	7.332878	9.822335	-6.676858	
1764	20548.69	0	0	0	0	7.080118	10.2073	-6.80227	7.33285	9.822568	-6.676912	
1765	20559.59	0	0	0	0	7.079928	10.20722	-6.802015	7.332621	9.82225	-6.676619	
1766	20570.3	0	0	0	0	7.079577	10.20722	-6.80167	7.332484	9.822293	-6.676552	
1767	20584.23	0	0	0	0	7.079178	10.20714	-6.801473	7.332562	9.822354	-6.676461	
1768	20592.78	0	0	0	0	7.078879	10.207	-6.801038	7.332704	9.822476	-6.67652	
