4/14/2019 1:47	The file contains frame by frame data of location for 3 tracked objects 													
The coordinate system is in Unity world coordinates.														
-------------------------------------------------														
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ
3470	39332.66	0	0	0	0	7.074203	10.19717	-6.889825	7.908965	9.825005	-6.937698	6.991821	10.01591	-6.208935
3471	39343.71	0	0	0	0	7.074445	10.19579	-6.890954	7.908991	9.824992	-6.937708	6.991829	10.01589	-6.208977
3472	39354.96	0	0	0	0	7.074846	10.19432	-6.892228	7.908933	9.825031	-6.937706	6.991839	10.01587	-6.209023
3473	39366.23	0	0	0	0	7.075168	10.19256	-6.893607	7.908951	9.825007	-6.937665	6.99185	10.01585	-6.209077
3474	39377.41	0	0	0	0	7.075641	10.19076	-6.895119	7.908956	9.825006	-6.937705	6.991863	10.01582	-6.209134
3475	39388.21	0	0	0	0	7.076138	10.18902	-6.896655	7.90892	9.825008	-6.937688	6.991876	10.0158	-6.209189
3476	39399.53	0	0	0	0	7.076453	10.18711	-6.898112	7.908848	9.824873	-6.937644	6.991887	10.01577	-6.209246
3477	39410.67	0	0	0	0	7.076898	10.18534	-6.899692	7.908843	9.824849	-6.937646	6.991899	10.01574	-6.209302
3478	39422.52	0	0	0	0	7.077408	10.18351	-6.901397	7.908959	9.824779	-6.93765	6.991913	10.01572	-6.20936
3479	39433.28	0	0	0	0	7.077856	10.18189	-6.902787	7.909102	9.824957	-6.937699	6.991925	10.01569	-6.209411
3480	39444.32	0	0	0	0	7.078341	10.18025	-6.90418	7.909123	9.824983	-6.9377	6.991938	10.01567	-6.209463
3481	39455.54	0	0	0	0	7.078885	10.17874	-6.905493	7.909016	9.825039	-6.937651	6.991951	10.01564	-6.209512
3482	39466.61	0	0	0	0	7.079523	10.17767	-6.906496	7.909003	9.825052	-6.937658	11.14342	10.12544	4.75
3483	39478.04	0	0	0	0	7.080224	10.17662	-6.90747	7.909048	9.825112	-6.937671	11.12578	10.14327	4.750001
3484	39489.2	0	0	0	0	7.080981	10.17572	-6.908498	7.908988	9.825176	-6.937672	11.10692	10.15856	4.75
3485	39500.25	0	0	0	0	7.08199	10.17476	-6.909542	7.908892	9.825054	-6.937621	11.08377	10.17475	4.75
3486	39511.19	0	0	0	0	7.082629	10.17381	-6.910609	7.908867	9.825053	-6.937634	11.06681	10.19087	4.750001
3487	39522.28	0	0	0	0	7.083277	10.17274	-6.911806	7.908847	9.825081	-6.937648	11.049	10.20888	4.750001
3488	39533.85	0	0	0	0	7.084041	10.17172	-6.912962	7.908812	9.825027	-6.937611	11.02954	10.22589	4.75
3489	39545.23	0	0	0	0	7.0846	10.17054	-6.914308	7.90879	9.825031	-6.937617	11.01252	10.24547	4.750001
3490	39556.5	0	0	0	0	7.08499	10.16935	-6.915805	7.90882	9.82499	-6.937649	10.99754	10.26521	4.75
3491	39567.95	0	0	0	0	7.085448	10.16832	-6.917219	7.908856	9.825074	-6.937697	10.98195	10.28232	4.75
3492	39579.66	0	0	0	0	7.085806	10.16724	-6.918612	7.908851	9.82509	-6.937654	10.96822	10.30007	4.75
3493	39590.7	0	0	0	0	7.086152	10.16625	-6.920067	7.908893	9.825065	-6.937665	10.95439	10.3161	4.75
3494	39602.63	0	0	0	0	7.086498	10.16533	-6.921531	7.908773	9.824924	-6.937679	10.94058	10.33106	4.75
3495	39613.81	0	0	0	0	7.086887	10.16469	-6.92292	7.908764	9.824931	-6.937658	10.92652	10.34136	4.75
3496	39625.36	0	0	0	0	7.087438	10.16426	-6.924289	7.908762	9.824922	-6.937643	10.90997	10.34807	4.75
3497	39636.61	0	0	0	0	7.08797	10.16388	-6.925672	7.908777	9.824939	-6.937661	10.89371	10.35401	4.75
3498	39648.19	0	0	0	0	7.088443	10.16369	-6.926915	7.908799	9.824952	-6.937579	10.87925	10.35687	4.75
3499	39659.38	0	0	0	0	7.089073	10.16353	-6.928077	7.908828	9.82495	-6.937547	10.8627	10.35908	4.75
3500	39670.97	0	0	0	0	7.089605	10.16352	-6.929291	7.908864	9.825006	-6.937551	10.84752	10.35899	4.75
3501	39682.33	0	0	0	0	7.089966	10.1634	-6.930377	7.908881	9.824995	-6.937574	10.83589	10.36063	4.750001
3502	39694.17	0	0	0	0	7.090486	10.16333	-6.931557	7.908857	9.825027	-6.937523	10.8212	10.36136	4.750001
