4/21/2019 10:31:48 PM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
28394	319540.3	25	7.5	10	-6.2	6.897042	10.14814	-6.528625	7.102047	9.997704	-6.312387	42.79845	15.56168	4.75	
28395	319551	25	7.5	10	-6.2	6.897781	10.14822	-6.528375	7.109481	9.999506	-6.319895	42.79845	15.56168	4.75	
28396	319563	25	7.5	10	-6.2	6.898625	10.14826	-6.528152	7.117757	10.00171	-6.327468	42.79845	15.56168	4.75	
28397	319573.7	25	7.5	10	-6.2	6.89938	10.14834	-6.528069	7.125972	10.00419	-6.334305	42.79845	15.56168	4.75	
28398	319585.4	25	7.5	10	-6.2	6.900149	10.14835	-6.528107	7.135159	10.00714	-6.340656	42.79845	15.56168	4.75	
28399	319595.9	25	7.5	10	-6.2	6.900871	10.1484	-6.528421	7.144856	10.01028	-6.346929	42.79845	15.56168	4.75	
28400	319608.1	25	7.5	10	-6.2	6.901519	10.14857	-6.528678	7.154498	10.01432	-6.352211	42.79845	15.56168	4.75	
28401	319618.7	25	7.5	10	-6.2	6.902089	10.14864	-6.529031	7.164822	10.01788	-6.357187	42.79845	15.56168	4.75	
28402	319630.5	25	7.5	10	-6.2	6.902657	10.14875	-6.529551	7.175261	10.0216	-6.362284	42.79845	15.56168	4.75	
28403	319641.1	25	7.5	10	-6.2	6.903155	10.14893	-6.530143	7.186319	10.02562	-6.366433	42.79845	15.56168	4.75	
28404	319652.6	25	7.5	10	-6.2	6.903447	10.14904	-6.530833	7.197875	10.02942	-6.36987	42.79845	15.56168	4.75	
28405	319663.7	25	7.5	10	-6.2	6.903819	10.14926	-6.53161	7.209901	10.03333	-6.372808	42.79845	15.56168	4.75	
28406	319674.6	25	7.5	10	-6.2	6.904063	10.14951	-6.532427	7.221581	10.03701	-6.374866	42.79845	15.56168	4.75	
28407	319686.9	25	7.5	10	-6.2	6.904268	10.14974	-6.533455	7.233442	10.04041	-6.375937	42.79845	15.56168	4.75	
28408	319697.9	25	7.5	10	-6.2	6.904513	10.15002	-6.534584	7.245259	10.0428	-6.375282	42.79845	15.56168	4.75	
28409	319710.1	25	7.5	10	-6.2	6.904596	10.15033	-6.535731	7.256928	10.04528	-6.374104	42.79845	15.56168	4.75	
28410	319720.9	25	7.5	10	-6.2	6.90472	10.15067	-6.536955	7.26894	10.04677	-6.370804	42.79845	15.56168	4.75	
28411	319731.8	25	7.5	10	-6.2	6.904807	10.15104	-6.53813	7.280922	10.04675	-6.365431	42.79845	15.56168	4.75	
28412	319744.1	25	7.5	10	-6.2	6.904785	10.15136	-6.539437	7.293295	10.04676	-6.360576	42.79845	15.56168	4.75	
28413	319755.1	25	7.5	10	-6.2	6.904753	10.15173	-6.540729	7.306103	10.04587	-6.354927	42.79845	15.56168	4.75	
28414	319777.1	25	7.5	10	-6.2	6.904626	10.15203	-6.542112	7.328315	10.04443	-6.34546	42.79845	15.56168	4.75	
28415	319785.3	25	7.5	10	-6.2	6.904309	10.15232	-6.543483	7.342531	10.04312	-6.34018	42.79845	15.56168	4.75	
28416	319797.5	25	7.5	10	-6.2	6.903929	10.15303	-6.546068	7.356573	10.04059	-6.334335	42.79845	15.56168	4.75	
28417	319808	-1	7.5	10	-6.2	6.903573	10.15343	-6.547272	7.369626	10.03834	-6.328853	42.79845	15.56168	4.75	
28418	319819.8	-1	7.5	10	-6.2	6.903328	10.15374	-6.548431	7.381745	10.03618	-6.323635	42.79845	15.56168	4.75	
28419	319831.1	-1	7.5	10	-6.2	6.90302	10.15414	-6.549469	7.392157	10.03345	-6.318312	42.79845	15.56168	4.75	
28420	319842.2	-1	7.5	10	-6.2	6.902588	10.15444	-6.550445	7.402023	10.03062	-6.313389	42.79845	15.56168	4.75	
28421	319852.2	-1	7.5	10	-6.2	6.902197	10.15473	-6.551254	7.410095	10.02799	-6.310019	42.79845	15.56168	4.75	
28422	319863.9	-1	7.5	10	-6.2	6.901814	10.15508	-6.55187	7.417935	10.02526	-6.306606	42.79845	15.56168	4.75	
28423	319878.4	-1	7.5	10	-6.2	6.9014	10.15546	-6.552301	7.423622	10.02314	-6.303769	42.79845	15.56168	4.75	
28424	319891.8	-1	7.5	10	-6.2	6.90106	10.15586	-6.552489	7.428996	10.02073	-6.301045	42.79845	15.56168	4.75	
28425	319899.9	-1	7.5	10	-6.2	6.90077	10.15623	-6.552314	7.432849	10.01936	-6.29941	42.79845	15.56168	4.75	
28426	319909.1	-1	7.5	10	-6.2	6.900395	10.15657	-6.552136	7.435134	10.01871	-6.298729	42.79845	15.56168	4.75	
28427	319920.1	-1	7.5	10	-6.2	6.900071	10.15696	-6.55194	7.43692	10.01845	-6.298348	42.79845	15.56168	4.75	
28428	319932.3	-1	7.5	10	-6.2	6.899708	10.15716	-6.551366	7.437776	10.01878	-6.298726	42.79845	15.56168	4.75	
28429	319942.3	-1	7.5	10	-6.2	6.899279	10.15725	-6.550856	7.438264	10.01919	-6.299136	42.79845	15.56168	4.75	
