4/21/2019 10:38:21 PM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
4337	49409.39	0	0	0	0	6.830707	10.08463	-6.570636	7.014411	9.752996	-6.437734	8.963653	5.471689	4.75	
4338	49420.67	0	0	0	0	6.830944	10.08451	-6.570681	7.014819	9.757154	-6.438795	8.963653	5.471689	4.75	
4339	49429.3	0	0	0	0	6.831152	10.08438	-6.570878	7.015099	9.760011	-6.439666	13.54761	11.672	4.750001	
4340	49440.4	0	0	0	0	6.831394	10.08429	-6.570957	7.015842	9.763622	-6.440805	13.54761	11.672	4.75	
4341	49462.28	0	0	0	0	6.831615	10.08427	-6.570971	7.016396	9.767537	-6.441993	13.54761	11.672	4.75	
4342	49473.05	0	0	0	0	6.831835	10.08423	-6.570847	7.01704	9.774858	-6.444685	13.54761	11.672	4.75	
4343	49481	0	0	0	0	6.832108	10.08419	-6.57091	7.017085	9.778409	-6.446031	13.54761	11.672	4.75	
4344	49490.79	0	0	0	0	6.832313	10.08414	-6.57091	7.017132	9.781363	-6.447013	13.54761	11.672	4.75	
4345	49502.71	0	0	0	0	6.832511	10.08408	-6.570984	7.017225	9.785478	-6.448538	13.54761	11.672	4.75	
4346	49511.43	0	0	0	0	6.832701	10.08402	-6.571003	7.017129	9.789648	-6.449825	13.54761	11.672	4.75	
4347	49520.11	0	0	0	0	6.832899	10.08402	-6.571014	7.017037	9.792711	-6.450719	13.54761	11.672	4.75	
4348	49530.07	0	0	0	0	6.833089	10.08397	-6.571002	7.016888	9.796778	-6.451876	11.80586	4.69838	4.75	
4349	49540.85	0	0	0	0	6.833103	10.08398	-6.571009	7.016335	9.801159	-6.453073	11.80576	4.698346	4.75	
4350	49551.44	0	0	0	0	6.833253	10.08386	-6.570975	7.015913	9.805877	-6.454391	11.80576	4.698346	4.75	
